ID,CompanyName,ContactName,PhoneNumber,City,State,Status,CompetitorWebsite,Notes
101,Champion RocRoofing & Construction,Owner / Manager,+12144630808,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Champion%20RocRoofing%20%26%20Construction&query_place_id=ChIJN-IKiWuRToYRivnc0xXCOeY
102,Champs Choice Roofing LLC,Owner / Manager,+14696659236,Texas,USA,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Champs%20Choice%20Roofing%20LLC&query_place_id=ChIJ___DOm6aToYRocMhsjF9Srk
103,Channell Group,Owner / Manager,+12146246229,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Channell%20Group&query_place_id=ChIJwVtbrp4hTIYR5MyHTsNC9n8
104,ChaveRoofing.A.,Owner / Manager,+18326795305,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=ChaveRoofing.A.&query_place_id=ChIJL4ykh4y5QIYRRuKyj_d2rMQ
105,Chavez Brothers Roof Repair,Owner / Manager,+14699404843,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Chavez%20Brothers%20Roof%20Repair&query_place_id=ChIJDc6Emk-RToYRCh_JgOL_bhA
106,Christian Carpenter Construction Incorporated,Owner / Manager,+18326479131,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Christian%20Carpenter%20Construction%20Incorporated&query_place_id=ChIJWRCKlCnpQIYRD3_zGC1rKaI
107,Chucktown Roofing - Nashville,Owner / Manager,+18434108783,Nashville,Tennessee,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Chucktown%20Roofing%20-%20Nashville&query_place_id=ChIJ_Si_GJBnZIgRgeRdyu5AMoI
108,Clutch City Roofing,Owner / Manager,+18324839406,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Clutch%20City%20Roofing&query_place_id=ChIJX3pSFSS_QIYRa9PNTveaq_8
109,Coburn Restoration,Owner / Manager,+14692566183,Texas,USA,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Coburn%20Restoration&query_place_id=ChIJcU6aoUUlMwARlBu6f1cfKwU
110,Coliman Materials,Owner / Manager,+12142427909,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Coliman%20Materials&query_place_id=ChIJ9Rc8g2qjToYRGVHW71loCfY
111,Complete Home Repair Service,Owner / Manager,+14692024145,Texas,USA,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Complete%20Home%20Repair%20Service&query_place_id=ChIJMZM4dmeXToYRsylddhH1kIs
112,Concept To Construct,Owner / Manager,+13466704433,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Concept%20To%20Construct&query_place_id=ChIJS0z6iNTmSYkRtIYUJ39Zv84
113,Connected Energy | Tesla Solar Shingle & Power Wall Certified Installer,Owner / Manager,+17134821262,Houston,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Connected%20Energy%20%7C%20Tesla%20Solar%20Shingle%20%26%20Power%20Wall%20Certified%20Installer&query_place_id=ChIJyzKdCHvBQIYR9Wr7IEfSZZE
114,ConstralithBuildPro,Owner / Manager,+18648996008,Dallas,Texas,Pending,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=ConstralithBuildPro&query_place_id=ChIJ-TZXEDGXToYR4SNNbkqHgG0
